item,itemLabel
http://www.wikidata.org/entity/Q204894,marginal sea
http://www.wikidata.org/entity/Q207264,Fermat number
http://www.wikidata.org/entity/Q207520,region of Japan
http://www.wikidata.org/entity/Q208511,global city
http://www.wikidata.org/entity/Q17781690,cardinal body part
http://www.wikidata.org/entity/Q213156,performance art
http://www.wikidata.org/entity/Q22989102,Greek deity
http://www.wikidata.org/entity/Q191874,Tony Awards
http://www.wikidata.org/entity/Q193955,hardback
http://www.wikidata.org/entity/Q196294,open license
http://www.wikidata.org/entity/Q209295,philosophy of religion
http://www.wikidata.org/entity/Q211258,deva
http://www.wikidata.org/entity/Q212828,Goya Awards
http://www.wikidata.org/entity/Q191600,civil and political rights
http://www.wikidata.org/entity/Q194285,Nebula Award
http://www.wikidata.org/entity/Q202474,dryad
http://www.wikidata.org/entity/Q202686,Commonwealth realm
http://www.wikidata.org/entity/Q202875,negotiation
http://www.wikidata.org/entity/Q112826975,particular anatomical entity
http://www.wikidata.org/entity/Q200464,Portuguese Empire
http://www.wikidata.org/entity/Q210707,European Athletics Championships
http://www.wikidata.org/entity/Q192287,subdivision of Russia
http://www.wikidata.org/entity/Q193560,districts of Israel
http://www.wikidata.org/entity/Q88392887,part of a work
http://www.wikidata.org/entity/Q93352,coast
http://www.wikidata.org/entity/Q234460,text
http://www.wikidata.org/entity/Q183366,territory
http://www.wikidata.org/entity/Q191992,headland
http://www.wikidata.org/entity/Q367293,convention
http://www.wikidata.org/entity/Q264965,subculture
http://www.wikidata.org/entity/Q488383,object
http://www.wikidata.org/entity/Q625994,convention
http://www.wikidata.org/entity/Q814441,assertion
http://www.wikidata.org/entity/Q483247,phenomenon
http://www.wikidata.org/entity/Q1047832,reservoir
http://www.wikidata.org/entity/Q865588,committee
http://www.wikidata.org/entity/Q1130510,figurate number
http://www.wikidata.org/entity/Q732577,publication
http://www.wikidata.org/entity/Q1221119,Dienststelle
http://www.wikidata.org/entity/Q1792379,art genre
http://www.wikidata.org/entity/Q2006324,agreement
http://www.wikidata.org/entity/Q937228,property
http://www.wikidata.org/entity/Q1109638,webcast
http://www.wikidata.org/entity/Q2342494,collectible
http://www.wikidata.org/entity/Q2519340,administrative building
http://www.wikidata.org/entity/Q1266946,thesis
http://www.wikidata.org/entity/Q4393498,representation
http://www.wikidata.org/entity/Q7210356,political organization
http://www.wikidata.org/entity/Q7406919,service
http://www.wikidata.org/entity/Q7302601,recognition
http://www.wikidata.org/entity/Q165115,Equidae
http://www.wikidata.org/entity/Q184303,gift
http://www.wikidata.org/entity/Q337567,still waters
http://www.wikidata.org/entity/Q192581,job
http://www.wikidata.org/entity/Q628523,message
http://www.wikidata.org/entity/Q10843872,process
http://www.wikidata.org/entity/Q1049394,phonetic writing system
http://www.wikidata.org/entity/Q851824,persecution
http://www.wikidata.org/entity/Q11424100,status
http://www.wikidata.org/entity/Q4502142,visual artwork
http://www.wikidata.org/entity/Q103813670,anatomical structure type
http://www.wikidata.org/entity/Q13442814,scholarly article
http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q15265344,broadcaster
http://www.wikidata.org/entity/Q7551384,social space
http://www.wikidata.org/entity/Q163687,basilica
http://www.wikidata.org/entity/Q2188189,musical work
http://www.wikidata.org/entity/Q20937557,series
http://www.wikidata.org/entity/Q105948247,knowledge system
http://www.wikidata.org/entity/Q14947863,parlour game
http://www.wikidata.org/entity/Q15623264,subdivisions of Belgium
http://www.wikidata.org/entity/Q21507948,former village
http://www.wikidata.org/entity/Q8205328,artificial physical object
http://www.wikidata.org/entity/Q28813620,set
http://www.wikidata.org/entity/Q740464,legal act
http://www.wikidata.org/entity/Q2864737,religious art
http://www.wikidata.org/entity/Q11398090,creation
http://www.wikidata.org/entity/Q16686448,artificial entity
http://www.wikidata.org/entity/Q190898,centered polygonal number
http://www.wikidata.org/entity/Q327197,legal transaction
http://www.wikidata.org/entity/Q108163,proposition
http://www.wikidata.org/entity/Q451967,intentional human activity
http://www.wikidata.org/entity/Q28870066,ensemble of works of art
http://www.wikidata.org/entity/Q3750478,historical source
http://www.wikidata.org/entity/Q22981361,volatile compound
http://www.wikidata.org/entity/Q194980,intangible good
http://www.wikidata.org/entity/Q376799,transport infrastructure
http://www.wikidata.org/entity/Q26907166,temporal entity
http://www.wikidata.org/entity/Q109274999,notated music
http://www.wikidata.org/entity/Q841628,social stratification
http://www.wikidata.org/entity/Q956238,interactive computing
http://www.wikidata.org/entity/Q965415,performative utterance
http://www.wikidata.org/entity/Q1088552,Catholic church building
http://www.wikidata.org/entity/Q13366129,odd number
http://www.wikidata.org/entity/Q110879282,video and/or audio work
http://www.wikidata.org/entity/Q273976,blockade
http://www.wikidata.org/entity/Q106213450,time-based visual work
http://www.wikidata.org/entity/Q30060629,object of non-science
http://www.wikidata.org/entity/Q3537603,transgression
http://www.wikidata.org/entity/Q12376661,artificial body of water
http://www.wikidata.org/entity/Q327358,word formation
http://www.wikidata.org/entity/Q27038993,food establishment
http://www.wikidata.org/entity/Q763835,lifelog
http://www.wikidata.org/entity/Q846882,sources of law
http://www.wikidata.org/entity/Q11425,animation
http://www.wikidata.org/entity/Q23397,lake
http://www.wikidata.org/entity/Q726,horse
http://www.wikidata.org/entity/Q13136,reference work
http://www.wikidata.org/entity/Q44342,legend
http://www.wikidata.org/entity/Q28923,chart
http://www.wikidata.org/entity/Q43013,notebook
http://www.wikidata.org/entity/Q115923123,decorative object
http://www.wikidata.org/entity/Q4563817,segmental writing system
http://www.wikidata.org/entity/Q7973769,water storage
http://www.wikidata.org/entity/Q49008,prime number
http://www.wikidata.org/entity/Q10968259,stipend
http://www.wikidata.org/entity/Q1497384,building part
http://www.wikidata.org/entity/Q11028,information
http://www.wikidata.org/entity/Q67182782,Mersenne number with prime index
http://www.wikidata.org/entity/Q11696608,element of music
http://www.wikidata.org/entity/Q106418668,standard
http://www.wikidata.org/entity/Q104852483,cell class
http://www.wikidata.org/entity/Q57814795,domesticated mammal
http://www.wikidata.org/entity/Q35145743,human-made geographic object
http://www.wikidata.org/entity/Q193291,spirit
http://www.wikidata.org/entity/Q154430,anxiety
http://www.wikidata.org/entity/Q190087,data type
http://www.wikidata.org/entity/Q473972,protected area
http://www.wikidata.org/entity/Q645883,military operation
http://www.wikidata.org/entity/Q544006,anxiety disorder
http://www.wikidata.org/entity/Q501390,name calling
http://www.wikidata.org/entity/Q796194,medical procedure
http://www.wikidata.org/entity/Q860861,sculpture
http://www.wikidata.org/entity/Q844569,identity
http://www.wikidata.org/entity/Q183046,meaning
http://www.wikidata.org/entity/Q1021290,music school
http://www.wikidata.org/entity/Q1344963,world championship
http://www.wikidata.org/entity/Q1065449,introduced species
http://www.wikidata.org/entity/Q1286517,natural landscape
http://www.wikidata.org/entity/Q1800545,migration
http://www.wikidata.org/entity/Q2065736,cultural property
http://www.wikidata.org/entity/Q2015628,open space
http://www.wikidata.org/entity/Q1762471,rhetorical device
http://www.wikidata.org/entity/Q2659904,government organization
http://www.wikidata.org/entity/Q3176558,positive real number
http://www.wikidata.org/entity/Q4271324,mythical character
http://www.wikidata.org/entity/Q3346693,Greek nymph
http://www.wikidata.org/entity/Q4835091,territory
http://www.wikidata.org/entity/Q5003624,memorial
http://www.wikidata.org/entity/Q5390013,belief system
http://www.wikidata.org/entity/Q5307737,drinking establishment
http://www.wikidata.org/entity/Q171809,county of England
http://www.wikidata.org/entity/Q400144,planetary-mass object
http://www.wikidata.org/entity/Q839578,group dynamics
http://www.wikidata.org/entity/Q13418847,historical event
http://www.wikidata.org/entity/Q5257307,prize
http://www.wikidata.org/entity/Q2550974,waterwoman
http://www.wikidata.org/entity/Q12617225,religious literature
http://www.wikidata.org/entity/Q16887380,group
http://www.wikidata.org/entity/Q18123741,infectious disease
http://www.wikidata.org/entity/Q17149090,armed organization
http://www.wikidata.org/entity/Q9190427,animal disease
http://www.wikidata.org/entity/Q211606,social structure
http://www.wikidata.org/entity/Q650711,combat
http://www.wikidata.org/entity/Q1244890,rational number
http://www.wikidata.org/entity/Q581450,fallen angel
http://www.wikidata.org/entity/Q5909198,host-pathogen interaction
http://www.wikidata.org/entity/Q60661,exothermic process
http://www.wikidata.org/entity/Q20902363,mythical human-animal hybrid
http://www.wikidata.org/entity/Q12558574,point of view
http://www.wikidata.org/entity/Q23005223,division of an educational institution
http://www.wikidata.org/entity/Q5372471,Western confection
http://www.wikidata.org/entity/Q17334923,physical location
http://www.wikidata.org/entity/Q26256310,treatment
http://www.wikidata.org/entity/Q25416091,substance
http://www.wikidata.org/entity/Q7493941,shelter
http://www.wikidata.org/entity/Q17108519,personal narrative
http://www.wikidata.org/entity/Q181032,neurosis
http://www.wikidata.org/entity/Q29527347,figure
http://www.wikidata.org/entity/Q681615,syndicate
http://www.wikidata.org/entity/Q15627509,military organization
http://www.wikidata.org/entity/Q19832712,historical administrative division
http://www.wikidata.org/entity/Q2982911,natural history collection
http://www.wikidata.org/entity/Q6544379,lieutenancy area
http://www.wikidata.org/entity/Q7632070,substance use disorder
http://www.wikidata.org/entity/Q17376908,languoid
http://www.wikidata.org/entity/Q1191085,orders of magnitude of numbers
http://www.wikidata.org/entity/Q1637706,million city
http://www.wikidata.org/entity/Q4406616,concrete object
http://www.wikidata.org/entity/Q106643597,Russian object of federal importance
http://www.wikidata.org/entity/Q6942562,musical performance
http://www.wikidata.org/entity/Q646964,blue-green
http://www.wikidata.org/entity/Q27096213,geographic entity
http://www.wikidata.org/entity/Q18398645,types of towns and cities in Russia
http://www.wikidata.org/entity/Q56054752,tomb space
http://www.wikidata.org/entity/Q112276019,physical entity
http://www.wikidata.org/entity/Q14601169,human fortified settlement
http://www.wikidata.org/entity/Q112193769,particular disease
http://www.wikidata.org/entity/Q35459920,three-dimensional object
http://www.wikidata.org/entity/Q9261468,organizational subdivision
http://www.wikidata.org/entity/Q12029,addiction
http://www.wikidata.org/entity/Q43263,federal subject of Russia
http://www.wikidata.org/entity/Q36534,chemical reaction
http://www.wikidata.org/entity/Q9135,operating system
http://www.wikidata.org/entity/Q12136,disease
http://www.wikidata.org/entity/Q5891,philosophy
http://www.wikidata.org/entity/Q420,biology
http://www.wikidata.org/entity/Q8242,literature
http://www.wikidata.org/entity/Q28108,political system
http://www.wikidata.org/entity/Q2944660,lexical item
http://www.wikidata.org/entity/Q20575671,Oceanids
http://www.wikidata.org/entity/Q36279,biography
http://www.wikidata.org/entity/Q115922057,health care or beauty item
http://www.wikidata.org/entity/Q44619,fear
http://www.wikidata.org/entity/Q52943,conversation
http://www.wikidata.org/entity/Q3059255,Greek water deities
http://www.wikidata.org/entity/Q28555911,ordinary matter
http://www.wikidata.org/entity/Q31207,health care
http://www.wikidata.org/entity/Q113162275,music event
http://www.wikidata.org/entity/Q104127086,memory
http://www.wikidata.org/entity/Q113627911,alias
http://www.wikidata.org/entity/Q116221438,cosmetic product
http://www.wikidata.org/entity/Q71966963,religion or world view
http://www.wikidata.org/entity/Q115786086,linguistic form
http://www.wikidata.org/entity/Q317623,technical standard
http://www.wikidata.org/entity/Q321839,agreement
http://www.wikidata.org/entity/Q340169,media
http://www.wikidata.org/entity/Q350604,armed conflict
http://www.wikidata.org/entity/Q602884,social phenomenon
http://www.wikidata.org/entity/Q820655,statute
http://www.wikidata.org/entity/Q742736,bias
http://www.wikidata.org/entity/Q811430,human-made geographic feature
http://www.wikidata.org/entity/Q1151067,rule
http://www.wikidata.org/entity/Q1250464,realm
http://www.wikidata.org/entity/Q1168263,function
http://www.wikidata.org/entity/Q1190554,occurrence
http://www.wikidata.org/entity/Q985394,editor
http://www.wikidata.org/entity/Q1969448,term
http://www.wikidata.org/entity/Q2620826,declaration
http://www.wikidata.org/entity/Q2414609,religious painting
http://www.wikidata.org/entity/Q3249551,process
http://www.wikidata.org/entity/Q3305213,painting
http://www.wikidata.org/entity/Q478798,image
http://www.wikidata.org/entity/Q6046311,interface standard
http://www.wikidata.org/entity/Q6852233,military building
http://www.wikidata.org/entity/Q6671777,structure
http://www.wikidata.org/entity/Q82682,redox
http://www.wikidata.org/entity/Q205949,exothermic reaction
http://www.wikidata.org/entity/Q702492,urban area
http://www.wikidata.org/entity/Q914262,administrative territorial entity of Sweden
http://www.wikidata.org/entity/Q980357,grammatical category
http://www.wikidata.org/entity/Q930933,relation
http://www.wikidata.org/entity/Q10541491,legal form
http://www.wikidata.org/entity/Q3152824,cultural institution
http://www.wikidata.org/entity/Q11908691,artificial physical structure
http://www.wikidata.org/entity/Q2684591,statement
http://www.wikidata.org/entity/Q5890494,homestead
http://www.wikidata.org/entity/Q6815100,membership organization
http://www.wikidata.org/entity/Q9166713,tertiary education
http://www.wikidata.org/entity/Q173113,agronomy
http://www.wikidata.org/entity/Q3215290,artificial lake
http://www.wikidata.org/entity/Q12047513,psychological process
http://www.wikidata.org/entity/Q1318295,narrative
http://www.wikidata.org/entity/Q2551525,water reservoir
http://www.wikidata.org/entity/Q12047512,psychological phenomenon
http://www.wikidata.org/entity/Q4162386,operating system distribution
http://www.wikidata.org/entity/Q9200127,member
http://www.wikidata.org/entity/Q3962655,opinion
http://www.wikidata.org/entity/Q4846867,basilica
http://www.wikidata.org/entity/Q15401930,product
http://www.wikidata.org/entity/Q26256810,matter
http://www.wikidata.org/entity/Q15383322,cultural prize
http://www.wikidata.org/entity/Q16688120,crime against life
http://www.wikidata.org/entity/Q154250,tavern
http://www.wikidata.org/entity/Q88291,citadel
http://www.wikidata.org/entity/Q177626,human migration
http://www.wikidata.org/entity/Q10354598,rural settlement
http://www.wikidata.org/entity/Q1640628,network service
http://www.wikidata.org/entity/Q2151963,aroma compound
http://www.wikidata.org/entity/Q4204060,Islamic state
http://www.wikidata.org/entity/Q16873390,supraorganization
http://www.wikidata.org/entity/Q201662,alter ego
http://www.wikidata.org/entity/Q223557,physical object
http://www.wikidata.org/entity/Q677678,fortified town
http://www.wikidata.org/entity/Q1313923,kindred
http://www.wikidata.org/entity/Q28886448,work with multiple executions
http://www.wikidata.org/entity/Q3839081,disaster
http://www.wikidata.org/entity/Q13631330,aversion
http://www.wikidata.org/entity/Q15731071,character from Tolkien's legendarium
http://www.wikidata.org/entity/Q116035976,monetiform object
http://www.wikidata.org/entity/Q1063239,polity
http://www.wikidata.org/entity/Q113518695,flat object
http://www.wikidata.org/entity/Q29881373,musical ensemble consisting solely of singers
http://www.wikidata.org/entity/Q131207,cosmetics
http://www.wikidata.org/entity/Q173424,autocracy
http://www.wikidata.org/entity/Q1220959,building of public administration
http://www.wikidata.org/entity/Q12076836,administrative territorial entity of a single country
http://www.wikidata.org/entity/Q21550927,recreational equipment
http://www.wikidata.org/entity/Q113519195,"long, thin object"
http://www.wikidata.org/entity/Q60168923,grain storage building
http://www.wikidata.org/entity/Q16334298,group of living things
http://www.wikidata.org/entity/Q18398654,Catholic church building
http://www.wikidata.org/entity/Q317,dictatorship
http://www.wikidata.org/entity/Q634,planet
http://www.wikidata.org/entity/Q14656,Unix-like operating system
http://www.wikidata.org/entity/Q48204,voluntary association
http://www.wikidata.org/entity/Q3196,fire
http://www.wikidata.org/entity/Q49447,world view
http://www.wikidata.org/entity/Q16970,church building
http://www.wikidata.org/entity/Q61002,pseudonym
http://www.wikidata.org/entity/Q2635077,sources of international law
http://www.wikidata.org/entity/Q2713379,papal basilica
http://www.wikidata.org/entity/Q58778,system
http://www.wikidata.org/entity/Q6256,country
http://www.wikidata.org/entity/Q56055115,artificial animal shelter
http://www.wikidata.org/entity/Q4184,autobiography
http://www.wikidata.org/entity/Q21857994,giant planet
http://www.wikidata.org/entity/Q27096235,artificial geographic entity
http://www.wikidata.org/entity/Q19711353,public event
http://www.wikidata.org/entity/Q3370097,surname with patronymic affix
http://www.wikidata.org/entity/Q1273271,e-service
http://www.wikidata.org/entity/Q107435521,record
http://www.wikidata.org/entity/Q48907157,section of populated place
http://www.wikidata.org/entity/Q68619446,written contract
http://www.wikidata.org/entity/Q124490,violence
http://www.wikidata.org/entity/Q107425,landscape
http://www.wikidata.org/entity/Q187931,phrase
http://www.wikidata.org/entity/Q271669,landform
http://www.wikidata.org/entity/Q618779,award
http://www.wikidata.org/entity/Q838948,work of art
http://www.wikidata.org/entity/Q1664720,institute
http://www.wikidata.org/entity/Q1207505,quality
http://www.wikidata.org/entity/Q2472587,people
http://www.wikidata.org/entity/Q2385804,educational institution
http://www.wikidata.org/entity/Q1900326,network
http://www.wikidata.org/entity/Q4026292,action
http://www.wikidata.org/entity/Q7725634,literary work
http://www.wikidata.org/entity/Q728001,derivation
http://www.wikidata.org/entity/Q11081619,land
http://www.wikidata.org/entity/Q2431196,audiovisual work
http://www.wikidata.org/entity/Q2018526,arts
http://www.wikidata.org/entity/Q2424752,product
http://www.wikidata.org/entity/Q12131650,location of burial
http://www.wikidata.org/entity/Q1497375,architectural ensemble
http://www.wikidata.org/entity/Q14506045,optical phenomenon
http://www.wikidata.org/entity/Q15642541,human-geographic territorial entity
http://www.wikidata.org/entity/Q16334295,group of humans
http://www.wikidata.org/entity/Q106559804,person or organization
http://www.wikidata.org/entity/Q16829513,material
http://www.wikidata.org/entity/Q6087062,legal proceeding
http://www.wikidata.org/entity/Q16519632,scientific organization
http://www.wikidata.org/entity/Q286583,manifestation
http://www.wikidata.org/entity/Q387917,administrative territorial entity of Germany
http://www.wikidata.org/entity/Q1714118,online publication
http://www.wikidata.org/entity/Q851990,population group
http://www.wikidata.org/entity/Q3364869,parsimony
http://www.wikidata.org/entity/Q577764,communications system
http://www.wikidata.org/entity/Q1136974,role model
http://www.wikidata.org/entity/Q1454188,free area
http://www.wikidata.org/entity/Q1553864,governance
http://www.wikidata.org/entity/Q1752649,total institution
http://www.wikidata.org/entity/Q19967801,online service
http://www.wikidata.org/entity/Q24398318,religious building
http://www.wikidata.org/entity/Q17537576,creative work
http://www.wikidata.org/entity/Q14819852,birth
http://www.wikidata.org/entity/Q28855038,supernatural being
http://www.wikidata.org/entity/Q2504350,special interest group
http://www.wikidata.org/entity/Q17573152,believer
http://www.wikidata.org/entity/Q18608583,recurring sports event
http://www.wikidata.org/entity/Q567521,commercial company
http://www.wikidata.org/entity/Q484105,autonomy
http://www.wikidata.org/entity/Q30336093,biological system
http://www.wikidata.org/entity/Q467970,permanent establishment
http://www.wikidata.org/entity/Q18663765,stud farm
http://www.wikidata.org/entity/Q1076968,digital media
http://www.wikidata.org/entity/Q12894677,means
http://www.wikidata.org/entity/Q108637623,integrating resource
http://www.wikidata.org/entity/Q35145263,natural geographic object
http://www.wikidata.org/entity/Q217602,analysis
http://www.wikidata.org/entity/Q108676430,spoken word recording
http://www.wikidata.org/entity/Q1774041,word combination
http://www.wikidata.org/entity/Q10856962,anthroponym
http://www.wikidata.org/entity/Q21124681,blogging
http://www.wikidata.org/entity/Q333109,Überrest
http://www.wikidata.org/entity/Q111415237,physical public space
http://www.wikidata.org/entity/Q37866906,information resource
http://www.wikidata.org/entity/Q40890790,absorbed or reflected object light
http://www.wikidata.org/entity/Q515,city
http://www.wikidata.org/entity/Q571,book
http://www.wikidata.org/entity/Q23413,castle
http://www.wikidata.org/entity/Q43249,morpheme
http://www.wikidata.org/entity/Q41710,ethnic group
http://www.wikidata.org/entity/Q198,war
http://www.wikidata.org/entity/Q57821,fortification
http://www.wikidata.org/entity/Q7748,law
http://www.wikidata.org/entity/Q15284,municipality
http://www.wikidata.org/entity/Q8473,military
http://www.wikidata.org/entity/Q114961210,cultural building
http://www.wikidata.org/entity/Q1896989,subject of international law
http://www.wikidata.org/entity/Q19691007,institutional complex
http://www.wikidata.org/entity/Q28920052,non-negative integer
http://www.wikidata.org/entity/Q115537581,imaginary character
http://www.wikidata.org/entity/Q3062125,farming business
http://www.wikidata.org/entity/Q4129802,highest honors of the USSR
http://www.wikidata.org/entity/Q22676587,monarchic system
http://www.wikidata.org/entity/Q6128824,Simplism
http://www.wikidata.org/entity/Q15621286,intellectual work
http://www.wikidata.org/entity/Q17489659,group of works
http://www.wikidata.org/entity/Q42240,research
http://www.wikidata.org/entity/Q31728,public administration
http://www.wikidata.org/entity/Q72867640,hypothetical event
http://www.wikidata.org/entity/Q22978151,low spot
http://www.wikidata.org/entity/Q14757767,fourth-level administrative country subdivision
http://www.wikidata.org/entity/Q4230425,collection volume
http://www.wikidata.org/entity/Q24960157,non-fiction film
http://www.wikidata.org/entity/Q1370598,structure of worship
http://www.wikidata.org/entity/Q2310313,theatre venue
http://www.wikidata.org/entity/Q44637051,international competition
http://www.wikidata.org/entity/Q13218276,free city
http://www.wikidata.org/entity/Q30103,minority group
http://www.wikidata.org/entity/Q38112,forestry
http://www.wikidata.org/entity/Q96196009,state (former or current)
http://www.wikidata.org/entity/Q29888377,nominal locution
http://www.wikidata.org/entity/Q107307154,virtual place
http://www.wikidata.org/entity/Q168091,animal science
http://www.wikidata.org/entity/Q190328,Q190328
http://www.wikidata.org/entity/Q187588,social class
http://www.wikidata.org/entity/Q191067,article
http://www.wikidata.org/entity/Q190752,supreme court
http://www.wikidata.org/entity/Q188451,music genre
http://www.wikidata.org/entity/Q189004,college
http://www.wikidata.org/entity/Q187456,bar
http://www.wikidata.org/entity/Q187947,sheet music
http://www.wikidata.org/entity/Q188507,apartment
http://www.wikidata.org/entity/Q188828,pony
http://www.wikidata.org/entity/Q189533,academic degree
http://www.wikidata.org/entity/Q189898,emirate
http://www.wikidata.org/entity/Q191192,Giants
http://www.wikidata.org/entity/Q169336,mixture
http://www.wikidata.org/entity/Q189819,ritual
http://www.wikidata.org/entity/Q186117,timeline
http://www.wikidata.org/entity/Q214609,material
http://www.wikidata.org/entity/Q188055,siege
http://www.wikidata.org/entity/Q189118,cell type
http://www.wikidata.org/entity/Q189349,urban legend
http://www.wikidata.org/entity/Q188063,fiefdom
http://www.wikidata.org/entity/Q350895,abandoned village
http://www.wikidata.org/entity/Q651943,signifier
http://www.wikidata.org/entity/Q186165,web portal
http://www.wikidata.org/entity/Q251777,custom
http://www.wikidata.org/entity/Q1497364,building complex
http://www.wikidata.org/entity/Q188509,suburb
http://www.wikidata.org/entity/Q2221906,geographic location
http://www.wikidata.org/entity/Q190780,limb
http://www.wikidata.org/entity/Q187685,doctoral thesis
http://www.wikidata.org/entity/Q4164871,position
http://www.wikidata.org/entity/Q4164344,documentary
http://www.wikidata.org/entity/Q8536775,social center
http://www.wikidata.org/entity/Q78498,Ainur
http://www.wikidata.org/entity/Q188889,code
http://www.wikidata.org/entity/Q294440,public space
http://www.wikidata.org/entity/Q245016,military base
http://www.wikidata.org/entity/Q618123,geographical feature
http://www.wikidata.org/entity/Q838185,"community, region or language area of Belgium"
http://www.wikidata.org/entity/Q188686,military occupation
http://www.wikidata.org/entity/Q188823,scholarship
http://www.wikidata.org/entity/Q2434238,heritage
http://www.wikidata.org/entity/Q3331189,"version, edition, or translation"
http://www.wikidata.org/entity/Q186875,Mersenne prime
http://www.wikidata.org/entity/Q11795009,image
http://www.wikidata.org/entity/Q16889133,class
http://www.wikidata.org/entity/Q17172848,theatre
http://www.wikidata.org/entity/Q17277530,husbandry
http://www.wikidata.org/entity/Q187587,empire
http://www.wikidata.org/entity/Q190899,centered hexagonal number
http://www.wikidata.org/entity/Q1150070,change
http://www.wikidata.org/entity/Q1798622,governorate
http://www.wikidata.org/entity/Q3434769,macroregion
http://www.wikidata.org/entity/Q18674739,event venue
http://www.wikidata.org/entity/Q17988854,movement
http://www.wikidata.org/entity/Q7631075,administrative territorial entity of Switzerland
http://www.wikidata.org/entity/Q188976,counterculture
http://www.wikidata.org/entity/Q190893,centered cube number
http://www.wikidata.org/entity/Q190900,centered square number
http://www.wikidata.org/entity/Q186081,time interval
http://www.wikidata.org/entity/Q189970,social status
http://www.wikidata.org/entity/Q2712963,abstract noun
http://www.wikidata.org/entity/Q1456832,violation of law
http://www.wikidata.org/entity/Q4204491,administrative territorial entity of the Soviet Union
http://www.wikidata.org/entity/Q14897293,fictional entity
http://www.wikidata.org/entity/Q18593264,item of collection or exhibition
http://www.wikidata.org/entity/Q1621322,Middle-earth man
http://www.wikidata.org/entity/Q332102,paranormal phenomenon
